text,index
좋아,1
난 이 조합도 좋아,1
날이 너무 좋아 뒤통수만 봤지만 곧 앞통수 보러 갑니댜아,1
얘들아 더샤워 라이브 원하면 너무욕심쟁이니 하지만 위캔드도해줫잖아 싸비는 낮은 음만으로 부른다 해도 좋아 제발 불러줘,1
독서광 필력이 좋다,1
일단 카페 분위기도 좋구 카페자체가 너무너무 이뻤고 되게 재밌게 럭드도 진행해주시고 어색하지 않게 진행해주셔서 덩달아 신났던거 같아요 음료도 너무 맛있었고 컵홀더 특전도 너무너무 이뻤습니다,1
여돕여 여성들간의 우정 햇냥 매운맛 여성서사 자빱 냥님 분명 말투는 착해보이지 않는데 막상 보면 엄청 친절하고 잘 챙겨주는 갭이 좋아 까딱하면 죽을 상황에서도 욕하는 빱님 모먼트가 좋아,1
이 착장 넘 좋아,1
슈크림맛은 흑마법사보단 어엿한 정식마법사로 자라서 맑은 맨정신으로 선생님을 따먹는 게 좋다 뭐 그런 생각을 하고 있습니다,1
미나리에서 할머니가 가져온 씨앗이 미나리여서 제목 짓기도 좋고 영어표기도 편하고 얼마나 좋아 깻잎 청양고추 취나물 총각무 이런거 가져왔으면 어쩔뻔햇음,1
손목 납치 후 좋아 죽기,1
켄토 필모 다 좋지만 난 토도메 켄토가 젤 좋다,1
밥반찬으로 좋다 일본식 시금치 무침 비건사양 시금치 데치고 락앤락에 담아서 간장양념에 담그면 끝 시로다시가 없어 다시마육수 간장 청주로 만듬 비건분들도 안심하고 먹을 수 있는 레시피 자세한 레시피는 블로그에서 다인레시피,1
나 리바이보다 에렌이 더 좋아 에렌,1
슈크라떼 역키잡 너무 좋아,1
잘생긴 칭구들 그리기 좋아,1
나는 코테가 정말 좋아,1
이 장면 너무 좋아,1
너무 좋아 저 분 창작물,1
짱박 선공개 지금봤는데 김선호 요즘 컨디션 진짜 좋다 젤웃김 더불어 문형과의 꽁트는 증말 너무 사랑함,1
자매결연은 돈독한 홈친녀들 같아서 좋구 피의연합은 쎄보여서 좋음 하 고민쓰,1
소중한 사람이 생겨서 다정해지거나 유해지는건 캐붕이아니라 발전과성장이야 그리고 난 그게 좋다 나도 좋다 나도,1
아카츠키 너무 좋아 흣흑 선배 사랑해요 어어 친구 너도 사 해,1
니렌 형제 서로 호칭이 지로 이치로 이름이라는 점이 어떻게 생각해도 너무 발린다 어린 시절이나 특정 상황에만 형이라 부르는 것도 옛날부터 줄곧 이름으로 불러온 것도 좋아,1
저 작은 손에 반지에 네일 덕지 덕지 있는거 진짜 너무 좋다,1
오늘 창민이가 뉴야 보고 찬아 하는데 예전에 주연이 생각났어 찬아 하고 부르는 거 넘 좋아,1
오 그거 꽤 싫어하는 사람들 많지 단체로 아이스크림이나 케익 먹을 때 시키면 군말 없이 먹긴 하지만 호불호는 개인 취향에 따라 갈리니 좋다 나쁘다 할 게 아니라서 넷상에서 공방을,1
저 키에서 나올 수 있는 최고의 비율과 몸을 가짐 넘 좋다,1
결말 좋다 좋아 으히히,1
존나 좋다,1
자기도 잘못한 거 있으면서 왜 유튜브랑 트위터에 올리겠다고 협박까지 해 거기다 닉네임 가리는 게 좋아 안 가리는 게 좋냐면서 나한테 나는 어느 쪽이든 상관없는데 라면서 비아냥거렸다고,1
나 갑자기 나의 리를레드고영이 빅레드타이거가 되어와도 좋아,1
이벤트 년 월부터 끈질기게 달려온 본업 원고가 드디어 완결이 났습니다 감격스럽고 기쁘고 아 가슴 막 벅차오르고 너무 힘들었던 기억이 많아서 제가 너무 대견하고 기분이 좋아 짜잔 깜짝 알티 이벤 알티해,1
검은색이 안물리고 좋아,1
니가 좋으면 나도 좋아,1
허어어어 저랑 만나면 같이 만두머거요 저 샤오룽바오도 좋구 그냥 한국식 만두도좋구 다 조아요,1
아 미친 울 공주 개인화보 실실 웃으면서 빨래널다가 다시 폰 집어들음 어떡함 좋아 뒤지겟음,1
하얀가운 팔락거리면서 다니는게 좋다 본격 연구원이면 성격도 훨씬 까칠하겠지 이프일뿐이지만,1
히히 공부하고 검은사제들 본다 몇번봐도 좋아 제가 엑소시즘 영화를 좋아해서,1
비록 은 아녔지만 괜찮았어 구멍방은 언제나 좋다,1
오늘은 기부니 좋아 랄랄라랄랄랄랄라,1
좋아 하지만,1
앤오가 내 앤캐 캐해석 부숴주는 순간 넘 좋아 썰풀다가 내가 예상한 반응보다 더 다정하고 진지하고 애정이 묻어나는 반응을 보인다고 할 때 누가 심장이랑 대가리 합치는 기분이 듦 너희 진짜 사랑을 하고있구나,1
나는 슈가 풍선이지,1
줄여서 좋아 앙앙님 좋아,1
안그래도 사복 꺼멓게 입고다니는거 간지와방이라 좋았는데 머리까지 까만색이라 진심 너무 좋아 완전 간지나 아기천사 중에서 간지 티어야,1
난 다 조아 세세한 칭찬도 좋구 코리안식 드립도 좋구,1
오늘 날씨 좋아,1
노래가 너무 좋다 했더니 데이빗 게타랑 아버 맥스의 조합이었어 좋아하는 거 좋아하는 거 개짱좋아하는 거 가 되는 구나,1
쌍디덜 외모 똑같은데 인상차이 나는 점이 좋아,1
진심 존나 좋다,1
