text,index
트윗인용들 너무 귀엽다 우리집 댕 좋아 싫어,2
회사 오늘만가면 쉬는데 가기 싫어 죽겠다,2
학교 가기 싫어,2
학교가기 싫어 날 놔줘,2
난 학원이 싫어,2
흐어어엉 입시 너무 싫어 싫러 싫어 엉억,2
박형준 엘시티 자식들한테 주고 재산신고 고의로 누락했던거네 부인한테 주고 누락시키면 안되니까 근데 자식놈 앞으로 대출은 안됐나봐 그거 포기하기 싫어 부인한테 토스 한거네,2
아침이 싫어 싫다구,2
금요일도 일하기 싫어,2
싫어,2
코엑스 싫어,2
그리고 얌전히 착하게 잘 있었던 지크프리트가 퍼시벌 다녀오면 상으로 달달질척염제딸기풀코스 즐기는 것도 흑흑 출근 싫어 오늘 독일이랑 화상미팅 있어서 아홉시에 끝나,2
김종인 중진 만난다 당내 갈등 고조 일각 단일화 걸림돌 비판 김 위원장이 이성을 잃고 저주에 가까운 비난을 퍼부어 안철수에 상처를 입혔다 며 국민을 짜증 나게 한다 고 밝혔다,2
야다야다 과몰입이라던지 그런거 하기 싫어,2
니 똥 냄새가 자스민향이라도 맡기 싫어 진심,2
아학교가기 싫어 무서워,2
모두를 깜짝 놀라게 했죠 우리는 그를 싫어 했어요,2
아아 학교 가기 싫어,2
너 아픈 거 싫어,2
출근하기 싫어,2
김종민 오늘 윤갑희와 전화인터뷰에서 왤케 짜증 지지자들 특검 우려가 못마땅해,2
출근 싫어,2
요새 알바때문에 엄마가 나보다 일찍일어나는데 일어나기가 싫어 늦장부리게돼 일어나면 엄마봐야하니,2
학교 가기 싫어 안 괜찮아 안 가고 싶어 수업 안 하고 싶어,2
날씨 극혐,2
상처받은 내 마음과 더럽혀진 그때 추억 날 바라보던 니 표정 다 너무 싫어 난 니가 싫어 불안했던 우리 모습 지켜내려던 내 모습 다 너무 후회가 돼,2
아침부터 아빠가 동생들 혼내는거 들어야 하나 이래서 집이 싫어,2
교복입기 싫어 미치겠음,2
녹음러 트친소 목소리가 취향이면 와다 타케아키 님의 싫어 싫어 자아비대를 불러보았습니다,2
나가기 싫어,2
내가 아는 김광희 입맛 풀자면 케찹 안먹음 카페인 안먹음 민초 세상에서 제일 극혐 떡볶이 피자 파스타 불호 집밥같은거 좋아함 망고빙수 불호 딸기빙수 호 핫후라이드 핫뿌링클 호 그냥 뿌링클은 금방 질려서 불호 고바삭은 그,2
학교 가기 싫어 선생님들 제발 수업 하지 말아 주세요 개씨발,2
일어나기 싫어 그래도 쫀아 이세상을 정복할 귀여운 가루,2
내가 힘들게 안할께 짜증 안낼께 투정 안부릴께 아프다고 안할께,2
열다리 탐라에 올 때마다 짜증 나 열다리 안 파여,2
나 진짜 안 나갈 거야 그건 혜주도 싫어할 거고 나는 이렇게 멘탈 나가서 폐 끼치는 짓은 죽어도 하기 싫으니까 물론 죽기도 싫어,2
너무 싫어,2
그러니까요 이런 사람들 점잖은척 하면서 설마 설마 하고 인권을 위하는 사람이 설마 그러겠어 하는 식으로 피해자들 이상하게 몰아가는 그런 행태가 아주 꼴 볼견,2
지금 일어났는데 적어도 시 분까지 나가야하는데 밥 먹고있음 난 굶기 싫어,2
야 나 학교 가기 싫어 학원도 가기 싫어 자고싶어,2
해결할 마음이 없는 거 같고 그럼 난 낫기도 고치기도 싫은건가 이겨낼 방법도 없어 해결하기도 싫어 내가 나약하기 때문이겠지 난 결국 그런 인간인거지,2
나는 내 자신이 싫어,2
하 진짜 짜증 나 죽고 싶다,2
들만 모여있으니 그지경이지 내가 똑같은 인간되기 싫어 말은 안한다만 니네가 그래봐야 제정신인 사람들은 다 안다 알겠냐 인지 아닌지 구분도 못 하는 돌아이야,2
아침 싫어 졸려,2
같은 사람은 아니지만 형제잖아 가족을 걱정하는 게 그렇게 이상해 실실 웃지 마 짜증 나니까 형은 늘 그런 식이야,2
싫어 난 짬뽕,2
긴토키는 그런 남자임 존나 한심하고 귀찮게 하고 시끄럽고 짜증 나고 좀 꺼져주면 좋겠는데 막상 안 보이면 걱정되는 녀석 결국 내가 자기를 찾게 만드는 녀석 근데 알고 보니 술집에서 술 퍼마시고 있을 녀석,2
긴토키 기 지니 있으면 혼자서 존나 잘 놀 듯 있잖아 지니 군 네 부르셨나요 나 히지카타한테 까였어 같이 술 마시자고 했더니 너랑 마시는 건 싫다면서 가버리는 거 있지 짜증 나 그냥 확 좋아한다,2
치마 싫어 할거 같은디,2
어 싫어 그렇다고 내 밑에 있으란 소리도 아니니까 오해하지 말고,2
인수인계고 뭐고 대충하고 자세히 알려주지말고 딱 업무만 넘기자 라고 수백번 맘을 먹었는데 어제도 강의를 하고말았다 아 진짜 나도 이런 내가 싫어,2
학교 가기 싫어 학겨 가기 싫어 학교 가기 싫어 왜가 학교,2
오늘만가면 줌을 주동안 하는데 존나 싫어,2
닥쳐 도련님께서 찾으신다 그걸 들고 오라고 하셨다 좀 떨어져 이 천박한 짜증,2
나 자차 끌고 다닌 지 주까지만 해도 클락션 소리 들었는데 이제 안 듣는다 그렇지만 보초운전 떼기 싫어 개저 차단,2
난 모두가 싫어,2
학교 가기 싫어 안갈래 집에 갈래,2
존아 으 학교가기 싫어,2
오늘도 내 짜증 폈지 너 운동 너무 많이 해,2
저요 타팬이라서 좀 싫어 하실까봐,2
난 머머따 싫어,2
씨발 싫어,2
존나 심각해서 다이어트하려해 자존감도 개떨어지고 외출할 때도 뚱뚱한 나 자신을 보면 기죽어서 나가지기 싫어 월 일까지 키로 이상 못 빼면 앑 추첨 두 명 뽑아서 만원 만원 각각 보내줄게 아무나 상관없어 제,2
진짜 가기 싫어,2
한 번 정도 생각했는데 그래도 강일은 싫어,2
요즘은 학교가기 싫다 출근 늘 싫었지만 그런 싫은 게 아니고 화내는 기계같아서 싫어 올해 어린이들은 내가 열심히 해도 하는 둥 마는 둥해서 수업이 흐름도 뚝뚝 끊기고 재미가 없다 물론 그동안 내가,2
하 수업 극혐,2
가슴 두드리면 튀어나오는 말들만 해 달랬지 어 싫어 싫으니까 정정할게 김여주 내 옆에 앉아만 있지 말고 라이터 켜 이제 장난 없어,2
아우 학교가기 싫어,2
이게 누구는 더러운 거 좋아해서 하냐 진짜 짜증 나네,2
콜라 싫어 싫어 사이다 시러시러 와타만 줘요 와아타,2
아 말 걸지 마라 지금 짜증 나서 미치겠으니까,2
싸이코패스들끼리의 대결 몸으로 붙고 머리로 싸우고 누구 한명은 죽어야 끝나는데 또 죽이긴 싫어,2
수학이나 영어 아닌게 다행이지만 그래도 싫어,2
그럼 넌 짬뽕 난 짜증면,2
승룡아 저기 저 푸르딩딩한 녀석이랑은 무슨 사이야 쟤랑 놀지마 나 쟤 싫어,2
나 혼나기 싫어 걔 무서워,2
학교 싫어 싫어 진짜로 너무실음,2
갑옷 그리기 싫어 카라반 그냥 평상복 입할랭,2
좋은데 싫어 어카지 최애는 연예인 해야되는데,2
